"Name","Type","Latitude","Longitude","Address"
"Divakars speciality Hospital","hospital","12.9100629","77.5924585","220, 2nd phase, JP Nagar,Next to Nilgiris"
"Hema Poly Clinic","hospital","12.960765","77.7137961",""
"BMTC Hospital","hospital","12.9234317","77.5923374",""
"Ramakrishna Nursing Home and Hospital","hospital","12.9364329","77.583477",""
"Sri Vinayaka Poly Clinic","hospital","12.939058","77.5510802","80 Feet Road, SBM Colony, Near-Bank Colony Bus Stop, Banashankari 1st Stage, bangalore, 560050"
"RMV Hospital","hospital","13.0322788","77.576876",""
"Yashomathi Hospitals","hospital","12.9559302","77.7112689","Varthur Road, Bangalore"
"Mallya Audikesh Diagnostics Center","hospital","12.9815051","77.6011944","Infantry Road, Bangalore, 560001"
"Mallige Medical Centre","hospital","12.985247","77.5803846","Crescent Rd,Nehru Nagar,Gandhi Nagar, Bangalore, 560001"
"Devine Hospital","hospital","13.0038999","77.6039313","110,6Th Main Iti Layout Benson Town Post"
"Lalbagh Nursing Home","hospital","12.9452313","77.5861734","Siddapura Road"
"Dr. Batra Clinic","hospital","12.9797287","77.7271089",""
"Government Maternity Hospital","hospital","12.9988604","77.5817424",""
"Soujanya Clinic","hospital","12.9681189","77.54325",""
"Kanva Diagnostics Collection Centre","hospital","12.967291","77.5429164",""
"New Akshay Mallya Hospital","hospital","12.9568527","77.6990468","93/1, 565, Srinivasa Complex Ring Road Attached To Main Road"
"Presidency Hospital","hospital","12.9951629","77.69923","Whitefield Road"
"BGS Gleneagles Hospitals","hospital","12.90306","77.4974982","67, Uttarahalli Road, Kengeri"
"Srinivas Clinic","hospital","12.9073391","77.5830655","29 Main"
"N/A","hospital","13.0043642","77.5652959",""
"Metro Hospital","hospital","12.8915893","77.560715",""
"Brookefield Hospital(A Unit Of Sanjeevani Hospital)","hospital","12.9668213","77.7168891","521, 522, Vijayalakshmi Square Itpl Main Road Kundallahall Near Cosmos Mall"
"Tenet diagnostics","hospital","12.9573067","77.7087044","Spice Garden Compound Road, Marathahalli, Bangalore"
"ESI Hospital","hospital","12.995242","77.6523255",""
"Karunalayam Hospital","hospital","12.9111263","77.7073377",""
"SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases","hospital","12.9367955","77.5907094",""
"Maiya Multispecialty Hospital","hospital","12.942614","77.5854533","34, 10Th Main 1st Block, Jayanagar"
"Narayana Netralaya","hospital","12.9671401","77.6094485","#37, Castle Street, Opp Sacred Heart Church, Ashok Nagar, B.E"
"Nagappa Hadli Hospital","hospital","13.0829889","77.5489026","M S Palya, Bharath Nagar,Hesaraghatta Main Road,Vidyaranyapura Post"
"Vasan Eye Care Hospital, Nagarabhavi","hospital","12.9746134","77.5129757","No-5, 20 Th Cross, Malagala Under Pass Ring Road"
"Rc Hospital","hospital","12.930936","77.5153776","No. 484/A, Ideal Homes Township, 18th Main Road, Rajarajeshwarinagar"
"Veturi Child Health Centre","hospital","12.9263226","77.5156579",""
"Ketham's Hospital Pvt. Ltd","hospital","13.0686568","77.5582571","# 50/2, Vidyaranyapura, Nanjappa Main Road"
"Ragavendra Hospital","hospital","13.0425433","77.5155377",""
"Guru Kripa Clinic","hospital","13.0349833","77.5676844",""
"Deeksha Orthopaedic Hospital","hospital","13.0973922","77.5964894",""
"Shushrusha Hospital","hospital","13.0997316","77.5980216",""
"Chirag Hospital and Maternity Center","hospital","12.9126298","77.5913594","1635,17Th Main ( Near To Woody `S Hotel) 2nd Phase J.P. Nagar, Banglore"
"Udhbhava Hospital","hospital","12.9256842","77.5489346","No:114, 100 Feet Ring Road, 3Road Stage Banashankari"
"DG Hospital","hospital","12.9206648","77.5598673","274 / 275, M K Puttalingaiah Road, Padmanabhanagar"
"Srinivasa Nursing Home","hospital","12.9423039","77.6174893",""
"Kangila Clinic","hospital","12.9336501","77.5660602",""
"Chaitanya Hospital","hospital","13.0990911","77.5861904",""
"Vasan Eye Care Hospital, Koramangala","hospital","12.9402371","77.6253403","No.897/C, 80 Feet Road, 6th Block, Koramangala"
"health nest","hospital","12.9075992","77.6488507",""
"Amma's ENT Clinic","hospital","13.0281613","77.5793947",""
"Krishna Specialty Clinic","hospital","13.026721","77.5789272",""
"Seventh Day Adventist Hospital","hospital","12.995625","77.6113272","Saunders Road, Bengaluru, 560005"
"Srinivasa Nursing Home","hospital","12.9965077","77.6220456",""
"Kids Care Clinic","hospital","12.914434","77.6050207",""
"Pristine Health care","hospital","12.9382768","77.6186753",""
"Prerana Dental Clinic","hospital","12.9186845","77.630774",""
"Mamtha Health Center","hospital","12.9180492","77.6318764",""
"Suprabha Hospital","hospital","13.0079383","77.5469059",""
"Sangolli Nursing Home","hospital","13.0083564","77.5469273",""
"Diacon Hospital","hospital","13.0037682","77.5498337","359 / 360, 19Th Main 1 St Block Rajajinagar Near Indian Bank"
"Agarwal Eye Hospital","hospital","12.9273417","77.6221301",""
"Sri Sapthagiri Clinic","hospital","12.8736928","77.6449626",""
"Sagar Dental Clinic","hospital","12.9169725","77.6300572",""
"Venkateshwara Hospital","hospital","12.9257842","77.6170828","Hosur road"
"Namratha Hospital","hospital","13.0047859","77.543073",""
"Devi Eye Hospital","hospital","12.9162576","77.6374069",""
"Mysore Hospital","hospital","13.0275337","77.5397051","No. 35/6, Industrial Suburb, Goragunte Palya, Yashwantpur"
"Jayanagar Orthopaedic Centre","hospital","12.9293288","77.5877091","24/1-1, 14Th Main, 4Th Block East Jayanagar"
"Shekar Hospital","hospital","12.9458714","77.5675192","No.81,Bulltemple Road,Near Ramakrishna Ashram"
"Punya Hospital","hospital","13.0011459","77.5359798",""
"Vasan Eye Care","hospital","12.9102705","77.6265538","Hosur road"
"Parimala Clinic","hospital","12.9135707","77.5788941","Ayodhyarama Road"
"Karanth Speciality Hospital","hospital","12.9160081","77.6193573","No 72, 35Th Main 1st Cross 100 Ft Ring Road, Btm Layour, 2nd Stage Btm Layout"
"Gangothri Hospital","hospital","12.9162878","77.6138218","No.27, Kuvempunagar, B.T.M.Layout, 100 Ft. Ring Road"
"Spurthy Hospital","hospital","12.9239335","77.61116","#22, 1st Main, Chocolate Factory Road , Tavarekere Btm Layout"
"Prasad Eye Hospital","hospital","12.9351929","77.6086817",""
"NIMHANS Screening block","hospital","12.9387115","77.5937737",""
"NIMHANS OPD","hospital","12.9388056","77.5942994",""
"Manjunath Hospital","hospital","12.9483598","77.5940621","87/2, 8Th Cross,Wilson Garden"
"Karthik Hospital","hospital","12.9484356","77.5942592","8th Cross"
